"Firm","Quantity","Price","Total","AON","Order No"
"1001","1500","99.34","1500","","868"
"1001","4000","99.34","5500","","871"
"1001","2000","99.34","7500","","872"
"1001","1000","99.34","8500","","878"
"1001","500","99.34","9000","","880"
"1001","44150","99.32","53150","","859"
"1001","250","99.31","53400","","427"
"1001","150","99.31","53550","","438"
"1001","500","99.31","54050","","681"
"1001","3000","99.31","57050","","760"
"1001","500","99.30","57550","","536"
"1001","1000","99.30","58550","","547"
"1001","50000","99.30","108550","","552"
"1001","500","99.30","109050","","554"
"1001","4500","99.30","113550","","566"
"1001","2500","99.30","116050","","583"
"1001","20000","99.30","136050","","589"
"1001","1000","99.30","137050","","607"
"1001","4500","99.30","141550","","610"
"1001","1000","99.30","142550","","655"
"1001","1000","99.30","143550","","739"
"1001","2000","99.30","145550","","764"
"1001","5000","99.30","150550","","802"
"1001","450","99.30","151000","","865"
"1001","1000","99.29","152000","","435"
"1001","4000","99.29","156000","","443"
"1001","3500","99.29","159500","","444"
"1001","1500","99.28","161000","","643"
"1001","500","99.28","161500","","678"
"1001","3000","99.28","164500","","703"
"1001","350","99.28","164850","","797"
"1001","1000","99.28","165850","","807"
"1001","3500","99.28","169350","","811"
"1001","1500","99.28","170850","","847"
"1001","5000","99.28","175850","","853"
"1001","1500","99.28","177350","","857"
"1001","1500","99.28","178850","","869"
"1001","3500","99.26","182350","","786"
"1001","500","99.26","182850","","843"
"1001","3500","99.25","186350","","743"
"1001","4500","99.25","190850","","748"
"1001","500","99.24","191350","","821"

