"Order No","Min Fill Quantity","AON","Total","Price","Quantity","Firm"
"850","","","950","99.36","950","1001"
"855","","","1450","99.36","500","1001"
"856","","","41450","99.36","40000","1001"
"875","","","46450","99.36","5000","1001"
"882","","","48450","99.36","2000","1001"
"560","","","50400","99.44","1950","1001"
"501","","","54900","99.45","4500","1001"
"275","","","69400","99.56","14500","1001"
"267","","","70250","99.60","850","1001"
"251","","","70300","99.63","50","1001"
"250","","","74300","99.65","4000","1001"
"99","","","75300","99.76","1000","1001"
"92","","","79850","99.79","4550","1001"
"89","","","81150","99.81","1300","1001"
"90","","","81650","99.81","500","1001"
"93","","","83650","99.81","2000","1001"
"53","","","93650","99.94","10000","1001"
"55","","","94650","99.94","1000","1001"
"17","","","97150","99.98","2500","1001"
"19","","","101650","99.98","4500","1001"

